"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.435564292E0,1.083631134E1,1.769088745E1,-4.624768066E1,5.068768203E1
2.445537292E0,1.074567413E1,1.788802338E1,-4.634152222E1,5.082310079E1
2.455510292E0,1.045455170E1,1.806101990E1,-4.607092285E1,5.057695150E1
2.465483292E0,1.046029663E1,1.797537994E1,-4.635131836E1,5.080331489E1
2.475457292E0,1.033283997E1,1.799367523E1,-4.647268677E1,5.089450408E1
2.485430292E0,1.031097412E1,1.819195557E1,-4.654443359E1,5.102595157E1
2.495403292E0,1.047350311E1,1.838473511E1,-4.632806396E1,5.093115219E1
2.505376292E0,1.018840790E1,1.845732117E1,-4.626892090E1,5.084574123E1
2.515349292E0,1.002944183E1,1.843941498E1,-4.649771118E1,5.101606486E1
2.525323292E0,1.018537140E1,1.883840179E1,-4.622839355E1,5.094792973E1
2.535296292E0,1.007996368E1,1.892501068E1,-4.639590454E1,5.111107175E1
2.545269292E0,1.012462616E1,1.889422607E1,-4.661709595E1,5.130938967E1
2.555242292E0,9.975639343E0,1.882227325E1,-4.625778198E1,5.092714153E1
2.565215292E0,9.861450195E0,1.901255035E1,-4.606375122E1,5.079955165E1
2.575189292E0,9.663299561E0,1.921314240E1,-4.619372559E1,5.095472974E1
2.585162292E0,9.658309937E0,1.917012024E1,-4.604763794E1,5.080513183E1
2.595135292E0,9.825737000E0,1.895446777E1,-4.617553711E1,5.087236169E1
2.605108292E0,9.775253296E0,1.883596802E1,-4.620764160E1,5.084776702E1
2.615081292E0,1.012783051E1,1.862265015E1,-4.662097168E1,5.121416845E1
2.625055292E0,1.018006897E1,1.871264648E1,-4.638229370E1,5.104031849E1
2.635028292E0,1.012801361E1,1.826958466E1,-4.643063354E1,5.091324105E1
2.645001292E0,1.002306366E1,1.844422150E1,-4.678836060E1,5.128159318E1
2.654974292E0,1.007185364E1,1.840947723E1,-4.687219238E1,5.135517020E1
2.664947292E0,9.849678040E0,1.801796722E1,-4.692910767E1,5.122503730E1
2.674921292E0,9.591552734E0,1.771077728E1,-4.685476685E1,5.100037933E1
2.684894292E0,9.408927917E0,1.769949341E1,-4.736843872E1,5.143509481E1
2.694867292E0,9.195899963E0,1.773467255E1,-4.694610596E1,5.101980058E1
2.704840292E0,8.936233521E0,1.805735779E1,-4.705038452E1,5.118264475E1
2.714814292E0,8.861839294E0,1.801953888E1,-4.693942261E1,5.105433744E1
2.724787292E0,8.797180176E0,1.818012238E1,-4.706613159E1,5.121648145E1
2.734760292E0,8.831596375E0,1.834152985E1,-4.697088623E1,5.119250887E1
2.744733292E0,8.664443970E0,1.834812164E1,-4.739605713E1,5.155688498E1
2.754706292E0,8.732360840E0,1.797493744E1,-4.697949219E1,5.105316041E1
2.764680292E0,8.641601562E0,1.793254852E1,-4.730953979E1,5.132685583E1
2.774653292E0,8.441589355E0,1.772811127E1,-4.739639282E1,5.130267452E1
2.784626292E0,8.495010376E0,1.752110291E1,-4.727133179E1,5.112468149E1
2.794599292E0,8.119972229E0,1.728646851E1,-4.722213745E1,5.093806247E1
2.804572292E0,8.367782593E0,1.747027588E1,-4.711801147E1,5.094445338E1
2.814546542E0,8.298278809E0,1.748443604E1,-4.739978027E1,5.119869241E1
2.824519542E0,8.159599304E0,1.746075439E1,-4.769198608E1,5.143911490E1
2.834492542E0,8.045578003E0,1.753622437E1,-4.703860474E1,5.084172328E1
2.844465542E0,7.962104797E0,1.744842529E1,-4.744577026E1,5.117561699E1
2.854438542E0,7.814308167E0,1.741818237E1,-4.749264526E1,5.118601219E1
2.864412542E0,8.082778931E0,1.747422791E1,-4.719827271E1,5.097408069E1
2.874385542E0,7.568855286E0,1.752580261E1,-4.743554688E1,5.113288995E1
2.884358542E0,7.577835083E0,1.752402496E1,-4.722164917E1,5.093524503E1
2.894331542E0,7.188415527E0,1.752305603E1,-4.735650635E1,5.100362246E1
2.904304542E0,7.426612854E0,1.772805023E1,-4.743988037E1,5.118574600E1
2.914278542E0,7.433395386E0,1.782685089E1,-4.730471802E1,5.109587387E1
2.924251542E0,7.399696350E0,1.778498840E1,-4.736911011E1,5.113603339E1
2.934224542E0,7.751701355E0,1.779498291E1,-4.727526855E1,5.110480709E1
2.944197542E0,7.332458496E0,1.784022522E1,-4.710028076E1,5.089670944E1
2.954171542E0,7.187049866E0,1.789331818E1,-4.753430176E1,5.129653365E1
2.964144542E0,7.381210327E0,1.777257538E1,-4.768783569E1,5.142447253E1
2.974117542E0,6.996101379E0,1.801808929E1,-4.765084839E1,5.142178846E1
2.984090542E0,6.995498657E0,1.782253265E1,-4.783114624E1,5.152085231E1
2.994063542E0,7.021171570E0,1.796007538E1,-4.777380371E1,5.151890409E1
3.004037542E0,7.029266357E0,1.811670685E1,-4.765628052E1,5.146597639E1
3.014010542E0,7.059692383E0,1.801837921E1,-4.749978638E1,5.129065170E1
3.023983542E0,6.958274841E0,1.775318909E1,-4.737084961E1,5.106457387E1
3.033956542E0,6.756935120E0,1.777028656E1,-4.721569824E1,5.089952276E1
3.043929542E0,6.609207153E0,1.805660248E1,-4.731292725E1,5.107088796E1
3.053903542E0,6.396781921E0,1.777278900E1,-4.717416382E1,5.081527900E1
3.063876542E0,6.293655396E0,1.769258881E1,-4.746209717E1,5.104202645E1
3.073849542E0,6.355995178E0,1.768266296E1,-4.738052368E1,5.097047448E1
3.083822542E0,6.219703674E0,1.754399109E1,-4.741192627E1,5.093492996E1
3.093795542E0,6.200485229E0,1.764857483E1,-4.716888428E1,5.074270248E1
3.103769542E0,6.129737854E0,1.761321259E1,-4.715252686E1,5.070660443E1
3.113742542E0,6.268478394E0,1.761460114E1,-4.706564331E1,5.064328953E1
3.123715542E0,5.994979858E0,1.807737732E1,-4.742407227E1,5.110551814E1
3.133688542E0,5.921638489E0,1.827565765E1,-4.736416626E1,5.111193315E1
